,Latitude,Longitude,Month,Hour,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling,Fall,Spring,Summer,Winter
125,47.11,-122.57,1,13,91.24756,7.85141,0.4369637751675354,11,5.0,1009.6,21,0,0,0,1
126,47.11,-122.57,1,15,88.40332,9.09515,-0.7760941013808715,9,5.0,1009.2,11,0,0,0,1
127,47.11,-122.57,1,12,62.07275,15.56061,0.9013273365842409,22,10.0,1006.2,21,0,0,0,1
128,47.11,-122.57,1,13,54.83398,18.00781,1.7767981040878946,22,10.0,1006.9,21,0,0,0,1
129,47.11,-122.57,1,13,53.02124,16.85471,1.0222818486612886,23,10.0,1007.2,26,0,0,0,1
130,47.11,-122.57,1,15,66.59546,14.25644,1.5356363548690948,13,10.0,1010.6,37,0,0,0,1
131,47.11,-122.57,1,14,65.88745,18.79082,1.3890331073283817,10,10.0,1015.3,150,0,0,0,1
132,47.11,-122.57,1,11,71.0022,15.48004,1.2579466528160568,10,10.0,1009.9,722,0,0,0,1
133,47.11,-122.57,1,11,67.57202,12.36061,0.9294438491190676,10,10.0,1010.9,722,0,0,0,1
134,47.11,-122.57,1,13,31.37207,25.22858,2.1862231720756036,11,10.0,1010.3,60,0,0,0,1
135,47.11,-122.57,1,14,60.68115,16.7968,1.0222818486612886,8,10.0,1009.9,41,0,0,0,1
136,47.11,-122.57,1,11,82.39746,9.03976,0.4814194698730943,6,6.0,1012.9,37,0,0,0,1
137,47.11,-122.57,1,12,81.71387,9.77745,0.8868825182935691,7,6.0,1013.3,11,0,0,0,1
138,47.11,-122.57,1,13,67.67578,12.92458,0.9703204787580644,6,10.0,1012.9,35,0,0,0,1
139,47.11,-122.57,2,12,81.64673,10.94315,0.5029789187396878,6,10.0,1012.6,25,0,0,0,1
140,47.11,-122.57,2,12,79.55322,11.59019,0.5446529726887159,6,10.0,1011.9,24,0,0,0,1
141,47.11,-122.57,2,13,78.79639,11.57005,0.5240359814870412,5,10.0,1011.9,26,0,0,0,1
142,47.11,-122.57,2,13,78.01514,12.24983,-0.8079072898656301,5,10.0,1011.3,23,0,0,0,1
143,47.11,-122.57,2,14,78.17993,12.34047,0.5446529726887159,3,10.0,1010.9,23,0,0,0,1
144,47.11,-122.57,2,12,95.45288,14.1507,1.5280304405600886,18,10.0,1010.3,26,0,0,0,1
145,47.11,-122.57,2,14,62.96997,20.64888,0.6782416429229652,16,10.0,1008.2,35,0,0,0,1
146,47.11,-122.57,2,15,52.39868,24.45816,2.4969760210171175,13,10.0,1007.9,12,0,0,0,1
147,47.11,-122.57,2,15,36.53564,29.68491,2.1007944372771394,15,10.0,1007.9,29,0,0,0,1
148,47.11,-122.57,2,15,33.75244,29.64462,1.4320131467648365,17,10.0,1007.9,55,0,0,0,1
149,47.11,-122.57,2,15,62.16431,16.10695,1.3713329959797302,14,10.0,1009.9,24,0,0,0,1
150,47.11,-122.57,2,11,71.16089,13.58421,0.5240359814870412,6,10.0,1017.0,28,0,0,0,1
151,47.11,-122.57,2,12,64.74609,14.93118,1.3623653319255011,7,10.0,1017.3,29,0,0,0,1
